"Contract","Title","Company","PDF URL","Country","Concession/License name","Signature date","Language","Disclosure mode","Host gov contract"
"Afghanistan AmuDarya dd20111211 PSC","PSC","CNPC","http://downloads.openoil.net/contracts/af/af_AmuDarya_20111211_PSC_CNPC.pdf","AF","","2011-12-11T00:00:00","English","NULL","yes"
"Afghanistan Kashkari-Block Bazarkhami-Block Zamarudsay-Block dd20111226 PSC","PSC","CNPCI Watan Oil and Gas Afghanistan Ltd","http://downloads.openoil.net/contracts/af/af_Kashkari-Block_Bazarkhami-Block_Zamarudsay-Block_dd20111226_PSC_CNPCIW.pdf","AF","","2011-12-26T00:00:00","English","","yes"
"Albania Ballsh-Hekal-Field dd20070808 Petro-Agree","Petro-Agree","Albpetrol Sh A, Stream Oil & Gas Limited","http://downloads.openoil.net/contracts/al/al_Ballsh-Hekal-Field_dd20070808_Petro-Agree_Albpetrol_Stream.pdf","AL","","2007-08-08T00:00:00","English","corporate","yes"
"Albania Block-2-3 dd20081107 PSC","PSC","DWM Petroleum AG","http://downloads.openoil.net/contracts/al/al_Block-2-3_dd20081107_PSC_DWM.pdf","AL","","2008-11-07T00:00:00","English","corporate","yes"
"Albania Block-4-5 Dumre dd20100624 PSC","PSC","Sky Petroleum Inc","http://downloads.openoil.net/contracts/al/al_Block-4-5_Dumre_dd20100624_PSC_Sky-Petroleum.pdf","AL","","2010-06-24T00:00:00","English","corporate","yes"
"Albania Block-A-B dd20070731 PSC","PSC","DWM Petroleum AG","http://downloads.openoil.net/contracts/al/al_Block-A-B_dd20070731_PSC_DWM.pdf","AL","","2007-07-31T00:00:00","English","corporate","yes"
"Albania Block-D-E dd20070731 PSC","PSC","DWM Petroleum AG","http://downloads.openoil.net/contracts/al/al_Block-D-E_dd20070731_PSC_DWM.pdf","AL","","2007-07-31T00:00:00","English","corporate","yes"
"Albania Cakran-Mollaj-Field dd20070808 Petro-Agree","Petro-Agree","Albpetrol Sh A, Stream Oil & Gas Limited","http://downloads.openoil.net/contracts/al/al_Cakran-Mollaj-Field_dd20070808_Petro-Agree_Albpetrol_Stream.pdf","AL","","2007-08-08T00:00:00","English","corporate","yes"
"Albania Delvina-Block dd20070808 Petro-Agree","Petro-Agree","Albpetrol Sh A, Stream Oil & Gas Limited","http://downloads.openoil.net/contracts/al/al_Delvina-Block_dd20070808_Petro-Agree_Albpetrol_Stream.pdf","AL","","2007-08-08T00:00:00","English","corporate","yes"
"Albania Gorisht-Kocul-Field dd20070808 Petro-Agree","Petro-Agree","Albpetrol Sh A, Stream Oil & Gas Limited","http://downloads.openoil.net/contracts/al/al_Gorisht-Kocul-Field_dd20070808_Petro-Agree_Albpetrol_Stream.pdf","AL","","2007-08-08T00:00:00","English","corporate","yes"
"Albania Kucova dd20070706 License","License","Albpetrol Sh A","http://downloads.openoil.net/contracts/al/al_Kucova_dd20070706_License_Albpetrol.pdf","AL","","2007-07-06T00:00:00","English","corporate","yes"
"Albania Kucova dd20071104 Petro-Agree","Petro-Agree","Albpetrol Sh A, Sherwood International Petroleum Ltd","http://downloads.openoil.net/contracts/al/al_Kucova_dd20071104_Petro-Agree_Albpetrol_Sherwood.pdf","AL","","2007-04-11T00:00:00","English","corporate","yes"
"Algeria Hassi-Bir-Rekaiz-Block dd19991027 Farm-In-Agreement","Farm-In-Agreement","Arco Ghadames Inc, Santa Catalina L.H. Lundin (Algeria) Limited","http://downloads.openoil.net/contracts/dz/dz_Hassi-Bir-Rekaiz-Block_dd19991027_Farm-In-Agreement_ARCO_Santa-Catalina.pdf","DZ","","1999-10-27T00:00:00","English","corporate","no"
"Algeria dd19891023 Exploration-Exploitation","Exploration-Exploitation","Sonatrach, Anadarko Algeria Corp.","http://downloads.openoil.net/contracts%2Fdz%2Fdz__dd19891023_Exploration-Exploitation_Sonatrach_Anadarko.pdf","DZ","","1989-10-23T00:00:00","English","corporate","yes"
"Angola Block-20/11 dd20111220 PSC","PSC","CIE Angola, Sonangol P&P, BP Angola, China Sonangol","http://downloads.openoil.net/contracts%2Fao%2Fao_Block-20-11_dd20111220_PSC_CIE_Sonangol_BP.pdf","AO","","2011-12-20T00:00:00","English","corporate","yes"
"Angola Block-21/09 dd20100224 Risk-Service","Risk-Service","CIE Angola, Sonangol P&P, Nazaki Oil and Gáz S.A., Alper Oil","http://downloads.openoil.net/contracts%2Fao%2Fao_Block-21-09_dd20100224_Risk-Service_CIE_Sonangol-P%26P_Nazaki.pdf","AO","","2010-02-24T00:00:00","English","corporate","yes"
"Angola Block-5-06 dd20061101 PSC","PSC","Sociedade Nacional de Combustíveis de Angola ‑ Empresa Pública (Sonangol, E.P.), Vaalco Angola (Kwanza), Inc, Sonangol Pesquisa e Produção, SA, InterOil Exploration and Production ASA","http://downloads.openoil.net/contracts/ao/ao_Block-5-06_dd20061101_PSC_Sonangol_Vaalco_InterOil.pdf","AO","","2006-11-01T00:00:00","English","corporate","yes"
"Angola Block-9/09 dd20100224 Risk-Service","Risk-Service","CIE Angola, Sonangol P&P, Nazaki Oil and Gáz S.A., Alper Oil","http://downloads.openoil.net/contracts%2Fao%2Fao_Block-9-09_dd20100224_Risk-Service_CIE_Sonangol-P%26P_Nazaki.pdf","AO","","2010-02-24T00:00:00","English","corporate","yes"
"Argentina Bajada-del-Palo dd0000 Amend-JV","Amend-JV","Petrolera Entre Lomas SA, APCO Argentina Inc, Petrobras Energia SA","http://downloads.openoil.net/contracts/ar/ar_Bajada-del-Palo_dd0000_Amend-JV_Petrolera_APCO_Petrobras.pdf","AR","","NULL","English","corporate","no"
"Argentina Bajada-del-Palo dd20090626 Extension-Agree","Extension-Agree","Petrolera Entre Lomas SA, Petrobras Energia SA","http://downloads.openoil.net/contracts/ar/ar_Bajada-del-Palo_dd20090626_Extension-Agree_Petrolera_Petrobras.pdf","AR","","2009-06-26T00:00:00","English","corporate","Yes"
